"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,206936,46021,"BPS  Open Water",46021,"EVT  Open Water",46021
"2",31,9115,11,2,"BPS  Barren-Rock/Sand/Clay",2,"EVT  Sparsely Vegetated",2
"3",1561,7238,856,190,"BPS  Hardwood",168971,"EVT  Hardwood",1634
"4",1561,7239,4026,895,"BPS  Hardwood",168971,"EVT  Conifer-Hardwood",11573
"5",1561,7240,1390,309,"BPS  Hardwood",168971,"EVT  Hardwood",2706
"6",1561,7241,11672,2596,"BPS  Hardwood",168971,"EVT  Conifer-Hardwood",59120
"7",1561,7242,2,0,"BPS  Hardwood",168971,"EVT  Hardwood",17
"8",1561,7243,1,0,"BPS  Hardwood",168971,"EVT  Conifer-Hardwood",10
"9",1561,7295,13,3,"BPS  Hardwood",168971,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",18
"10",1561,7296,1035,230,"BPS  Hardwood",168971,"EVT  Developed-Low Intensity",1325
"11",1561,7297,292,65,"BPS  Hardwood",168971,"EVT  Developed-Medium Intensity",381
"12",1561,7298,68,15,"BPS  Hardwood",168971,"EVT  Developed-High Intensity",60
"13",1561,7299,13589,3022,"BPS  Hardwood",168971,"EVT  Developed-Roads",19850
"14",1561,7301,5588,1243,"BPS  Hardwood",168971,"EVT  Hardwood",54451
"15",1561,7302,619585,137793,"BPS  Hardwood",168971,"EVT  Hardwood",829885
"16",1561,7362,3312,737,"BPS  Hardwood",168971,"EVT  Conifer",16202
"17",1561,7366,8616,1916,"BPS  Hardwood",168971,"EVT  Conifer",56367
"18",1561,7481,20881,4644,"BPS  Hardwood",168971,"EVT  Riparian",156462
"19",1561,7905,16408,3649,"BPS  Hardwood",168971,"EVT  Developed",17983
"20",1561,7906,2335,519,"BPS  Hardwood",168971,"EVT  Developed",7863
"21",1561,7907,7200,1601,"BPS  Hardwood",168971,"EVT  Developed",12451
"22",1561,7908,670,149,"BPS  Hardwood",168971,"EVT  Developed",748
"23",1561,7909,302,67,"BPS  Hardwood",168971,"EVT  Developed",346
"24",1561,7925,370,82,"BPS  Hardwood",168971,"EVT  Developed",452
"25",1561,7926,129,29,"BPS  Hardwood",168971,"EVT  Developed",346
