Past,EVT,Acres
Past Conifer,Agricultural,3754
Past Conifer,Conifer,92220
Past Conifer,Conifer-Hardwood,18560
Past Conifer,Developed,11041
Past Conifer,Exotics,2522
Past Conifer,Hardwood,111639
Past Conifer,Riparian,13906
Past Conifer,Shrubland,0
Past Hardwood,Agricultural,4092
Past Hardwood,Conifer,52707
Past Hardwood,Conifer-Hardwood,38399
Past Hardwood,Developed,40867
Past Hardwood,Exotics,5840
Past Hardwood,Hardwood,700137
Past Hardwood,Riparian,23604
Past Hardwood,Shrubland,4
Past Hardwood-Conifer,Agricultural,1271
Past Hardwood-Conifer,Conifer,34456
Past Hardwood-Conifer,Conifer-Hardwood,10222
Past Hardwood-Conifer,Developed,4866
Past Hardwood-Conifer,Exotics,380
Past Hardwood-Conifer,Hardwood,38749
Past Hardwood-Conifer,Riparian,3339
Past Hardwood-Conifer,Shrubland,0
Past Riparian,Agricultural,645
Past Riparian,Conifer,46607
Past Riparian,Conifer-Hardwood,5638
Past Riparian,Developed,5166
Past Riparian,Exotics,1590
Past Riparian,Hardwood,37793
Past Riparian,Riparian,208607
