model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
13022_41_50_51_A,13022_41_50_51,A,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,1,7,13022,50,759778,0
13022_41_50_51_A,13022_41_50_51,A,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,1,15,13022,50,615441,0
13022_41_50_51_A,13022_41_50_51,A,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,1,1,13022,51,371764,0
13022_41_50_51_A,13022_41_50_51,A,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,1,25,13022,51,2102115,0
13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,2,4753,13022,50,759778,0
13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,2,4695,13022,50,615441,0
13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,2,1271,13022,51,371764,0
13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,2,15337,13022,51,2102115,0
13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,3,304591,13022,50,759778,40
13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,3,231848,13022,50,615441,37
13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,3,113530,13022,51,371764,30
13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,3,954537,13022,51,2102115,45
13022_41_50_51_D,13022_41_50_51,D,76,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,4,1,13022,51,0,0
13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,5,364784,13022,50,759778,48
13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,5,294575,13022,50,615441,47
13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,5,208942,13022,51,371764,56
13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,5,931754,13022,51,2102115,44
13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,180,3424,13022,50,759778,0
13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,180,1249,13022,50,615441,0
13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,180,4133,13022,51,371764,1
13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,180,9536,13022,51,2102115,0
13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,120,42584,13022,50,759778,5
13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,120,42400,13022,50,615441,6
13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,120,14731,13022,51,371764,3
13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,120,83081,13022,51,2102115,3
13022_41_50_51_Water,13022_41_50_51,Water,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,NA,NA,NA,NA,NA,NA,NA
13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,6,32217,13022,50,759778,4
13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,6,35312,13022,50,615441,5
13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,6,22332,13022,51,371764,6
13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,6,72400,13022,51,2102115,3
13022_41_50_51_UE,13022_41_50_51,UE,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,7,7418,13022,50,759778,0
