"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,206936,"Open Water",0,0,255,0,0,1,46021,2.9
"2",13,80860,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,17983,1.1
"3",14,35354,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,7863,0.5
"4",15,55984,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,12451,0.8
"5",16,3362,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,748,0
"6",17,1554,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,346,0
"7",22,5958,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,1325,0.1
"8",23,1713,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,381,0
"9",24,271,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,60,0
"10",25,89257,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,19850,1.3
"11",31,11,"Barren",191,191,191,0.74902,0.74902,0.74902,2,0
"12",32,81,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,18,0
"13",63,1523,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,339,0
"14",64,181,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,40,0
"15",65,1177,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,262,0
"16",68,77,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,17,0
"17",103,406,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,90,0
"18",104,24,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,5,0
"19",105,168,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,37,0
"20",106,586,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,130,0
"21",107,1685,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,375,0
"22",108,44518,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,9901,0.6
"23",109,8317,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,1850,0.1
"24",110,15824,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,3519,0.2
"25",111,29397,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,6538,0.4
"26",112,54138,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,12040,0.8
"27",113,101530,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,22580,1.4
"28",114,188547,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,41932,2.7
"29",115,314124,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,69859,4.5
"30",116,495250,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,110141,7
"31",117,757357,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,168432,10.8
"32",118,1065328,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,236923,15.1
"33",119,1009366,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,224478,14.3
"34",120,877165,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,195077,12.5
"35",121,670389,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,149091,9.5
"36",122,462939,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,102955,6.6
"37",123,226427,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,50356,3.2
"38",124,77227,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,17175,1.1
"39",204,9,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,2,0
"40",205,11,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,2,0
"41",206,262,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,58,0
"42",207,253,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,56,0
"43",208,4424,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,984,0.1
"44",209,955,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,212,0
"45",210,2177,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,484,0
"46",211,1405,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,312,0
"47",212,2249,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,500,0
"48",213,2094,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,466,0
"49",214,2660,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,592,0
"50",215,1932,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,430,0
"51",216,2062,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,459,0
"52",217,1428,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,318,0
"53",218,1714,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,381,0
"54",219,1642,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,365,0
"55",220,2303,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,512,0
"56",221,2046,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,455,0
"57",222,2306,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,513,0
"58",223,1646,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,366,0
"59",224,2637,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,586,0
"60",225,734,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,163,0
"61",226,802,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,178,0
"62",227,115,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,26,0
"63",228,180,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,40,0
"64",229,7,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,2,0
"65",301,9399,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,2090,0.1
"66",302,10162,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,2260,0.1
"67",303,15036,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,3344,0.2
"68",304,264,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,59,0
"69",305,632,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,141,0
"70",306,8162,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,1815,0.1
"71",307,17675,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,3931,0.3
"72",308,18325,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,4075,0.3
"73",309,11136,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,2477,0.2
"74",310,25138,"Herb Height >= 1 meter",255,51,0,1,0.2,0,5591,0.4
